customer_id,full_name,region,segment,annual_income,vulnerability_flag,loan_id,outstanding_balance,utilisation_ratio,days_past_due,missed_payments_12m,annual_inflows,annual_outflows,affordability_ratio,risk_score,risk_band,recommended_action,risk_rank,top_5pct_flag
C000076,Synthetic Customer 0076,Leinster,Mass Market,46816.83,1,L000076,14321.87,0.99,90,3,48005.53,45817.42,0.9544,93.8,Critical,Specialist support and arrears review,1,1
C000692,Synthetic Customer 0692,Ulster (ROI),Mass Market,57861.27,1,L000692,21280.96,0.8839,135,3,58556.03,63557.33,1.0854,90.5,Critical,Specialist support and arrears review,2,1
C000758,Synthetic Customer 0758,Leinster,Affluent,22000.0,1,L000758,19847.37,0.7423,180,3,21685.02,24870.44,1.1469,84.7,Critical,Specialist support and arrears review,3,1
C000980,Synthetic Customer 0980,Leinster,Emerging Affluent,32719.09,0,L000980,15619.96,0.7289,120,8,32510.37,30884.53,0.95,82.3,Critical,Specialist support and arrears review,4,1
C000252,Synthetic Customer 0252,Munster,Mass Market,69331.8,1,L000252,21771.82,0.99,60,2,68608.08,64923.24,0.9463,80.8,Critical,Specialist support and arrears review,5,1
C000362,Synthetic Customer 0362,Connacht,Emerging Affluent,55826.37,0,L000362,8392.63,0.792,135,3,53855.25,49830.23,0.9253,80.2,Critical,Specialist support and arrears review,6,1
C000619,Synthetic Customer 0619,Munster,Affluent,32739.64,0,L000619,4643.01,0.7573,135,3,31466.48,29789.77,0.9467,78.9,Critical,Specialist support and arrears review,7,1
C000944,Synthetic Customer 0944,Dublin,Mass Market,63085.48,0,L000944,9934.41,0.8088,90,2,61752.72,56933.38,0.922,76.4,Critical,Specialist support and arrears review,8,1
C000839,Synthetic Customer 0839,Leinster,Emerging Affluent,51359.91,0,L000839,17898.51,0.7986,90,2,50936.58,49124.63,0.9644,76.3,Critical,Specialist support and arrears review,9,1
C000851,Synthetic Customer 0851,Leinster,Emerging Affluent,44467.73,1,L000851,9575.19,0.6348,120,2,43635.63,46415.47,1.0637,75.3,Critical,Specialist support and arrears review,10,1
C000100,Synthetic Customer 0100,Connacht,Mass Market,29531.87,0,L000100,1552.98,0.7466,90,2,28755.21,27365.64,0.9517,74.0,High,Proactive affordability contact,11,1
C000280,Synthetic Customer 0280,Dublin,Mass Market,35802.64,1,L000280,15452.18,0.5935,90,2,37583.83,39932.2,1.0625,73.6,High,Proactive affordability contact,12,1
C000270,Synthetic Customer 0270,Leinster,Mass Market,43206.78,0,L000270,3554.79,0.6368,135,3,43413.49,39066.77,0.8999,73.4,High,Proactive affordability contact,13,1
C000130,Synthetic Customer 0130,Leinster,Mass Market,35365.55,0,L000130,2048.23,0.6241,90,3,34933.73,29861.97,0.8548,72.5,High,Proactive affordability contact,14,1
C000521,Synthetic Customer 0521,Connacht,Mass Market,61828.54,0,L000521,12395.74,0.7059,120,2,62958.61,60286.0,0.9575,72.4,High,Proactive affordability contact,15,1
C000227,Synthetic Customer 0227,Dublin,Mass Market,38837.21,1,L000227,1367.61,0.8633,60,1,39806.95,42862.93,1.0768,72.2,High,Proactive affordability contact,16,1
C000594,Synthetic Customer 0594,Munster,Mass Market,29809.44,0,L000594,31779.53,0.5991,135,3,30795.63,27524.8,0.8938,71.8,High,Proactive affordability contact,17,1
C000897,Synthetic Customer 0897,Munster,Mass Market,30967.8,1,L000897,26735.61,0.8536,60,1,29371.06,29902.65,1.0181,71.3,High,Proactive affordability contact,18,1
C000194,Synthetic Customer 0194,Connacht,Mass Market,34069.92,1,L000194,6064.97,0.5003,120,2,34994.92,41024.94,1.1723,70.0,High,Proactive affordability contact,19,1
C000614,Synthetic Customer 0614,Leinster,Emerging Affluent,50816.43,1,L000614,21183.98,0.505,90,2,49652.2,52048.55,1.0483,69.7,High,Proactive affordability contact,20,1
C000266,Synthetic Customer 0266,Leinster,Affluent,51116.07,1,L000266,20017.41,0.6693,45,3,52428.11,54097.61,1.0318,68.5,High,Proactive affordability contact,21,1
C000996,Synthetic Customer 0996,Connacht,Mass Market,25845.74,0,L000996,28362.43,0.5844,120,2,25380.06,22927.46,0.9034,66.8,High,Proactive affordability contact,22,1
