customer_id,full_name,birth_year,region,segment,annual_income,tenure_months,vulnerability_flag,data_classification
C000001,Synthetic Customer 0001,1950,Connacht,Mass Market,42189.42,3,0,SYNTHETIC
C000002,Synthetic Customer 0002,1952,Dublin,Mass Market,36146.13,98,0,SYNTHETIC
C000003,Synthetic Customer 0003,1996,Munster,Mass Market,47900.05,104,0,SYNTHETIC
C000004,Synthetic Customer 0004,1989,Leinster,Mass Market,70947.7,131,0,SYNTHETIC
C000005,Synthetic Customer 0005,1973,Dublin,Mass Market,71788.19,62,1,SYNTHETIC
C000006,Synthetic Customer 0006,1970,Munster,Mass Market,36514.96,3,0,SYNTHETIC
C000007,Synthetic Customer 0007,1997,Munster,Affluent,22000,119,0,SYNTHETIC
C000008,Synthetic Customer 0008,1992,Ulster (ROI),Mass Market,49234.69,229,0,SYNTHETIC
C000009,Synthetic Customer 0009,1955,Dublin,Mass Market,53171.85,194,0,SYNTHETIC
C000010,Synthetic Customer 0010,1970,Dublin,Mass Market,54938.74,204,0,SYNTHETIC
C000011,Synthetic Customer 0011,1953,Munster,Emerging Affluent,46132.8,103,1,SYNTHETIC
C000012,Synthetic Customer 0012,1957,Dublin,Emerging Affluent,47343.93,125,0,SYNTHETIC
C000013,Synthetic Customer 0013,1959,Leinster,Mass Market,27094.89,159,0,SYNTHETIC
C000014,Synthetic Customer 0014,1999,Munster,Emerging Affluent,22000,137,0,SYNTHETIC
C000015,Synthetic Customer 0015,1979,Connacht,Mass Market,37266.83,114,1,SYNTHETIC
C000016,Synthetic Customer 0016,1961,Munster,Emerging Affluent,23689.73,56,0,SYNTHETIC
C000017,Synthetic Customer 0017,1993,Munster,Mass Market,23174.82,72,1,SYNTHETIC
C000018,Synthetic Customer 0018,1948,Munster,Mass Market,46570.01,165,0,SYNTHETIC
C000019,Synthetic Customer 0019,1970,Dublin,Emerging Affluent,22000,146,0,SYNTHETIC
C000020,Synthetic Customer 0020,1981,Leinster,Emerging Affluent,54727.0,107,0,SYNTHETIC
C000021,Synthetic Customer 0021,1977,Dublin,Mass Market,23801.07,67,0,SYNTHETIC
C000022,Synthetic Customer 0022,1984,Leinster,Emerging Affluent,52028.79,135,1,SYNTHETIC
C000023,Synthetic Customer 0023,1977,Leinster,Emerging Affluent,52395.01,192,0,SYNTHETIC
C000024,Synthetic Customer 0024,1973,Munster,Mass Market,67699.26,38,1,SYNTHETIC
C000025,Synthetic Customer 0025,1997,Leinster,Mass Market,64567.4,70,0,SYNTHETIC
C000026,Synthetic Customer 0026,1959,Connacht,Mass Market,63486.25,172,0,SYNTHETIC
C000027,Synthetic Customer 0027,2000,Munster,Mass Market,22000,138,0,SYNTHETIC
C000028,Synthetic Customer 0028,1992,Connacht,Mass Market,36085.69,237,0,SYNTHETIC
C000029,Synthetic Customer 0029,1954,Dublin,Mass Market,35723.88,121,0,SYNTHETIC
C000030,Synthetic Customer 0030,1963,Dublin,Emerging Affluent,60408.54,159,0,SYNTHETIC
C000031,Synthetic Customer 0031,1955,Dublin,Affluent,22000,43,0,SYNTHETIC
C000032,Synthetic Customer 0032,1975,Connacht,Mass Market,79083.2,82,0,SYNTHETIC
C000033,Synthetic Customer 0033,1959,Munster,Mass Market,32860.02,139,0,SYNTHETIC
C000034,Synthetic Customer 0034,2003,Munster,Mass Market,35456.65,1,0,SYNTHETIC
C000035,Synthetic Customer 0035,1971,Connacht,Mass Market,44368.82,212,0,SYNTHETIC
